type,name,label
t,programming,Programming
t,psychedelic,Psychedelic
t,psychological,Psychological
t,psychological horror,Psychological Horror
t,puzzle,Puzzle
t,puzzle-platformer,Puzzle-Platformer
t,pve,PvE
t,pvp,PvP
t,quick-time events,Quick-Time Events
t,racing,Racing
t,real time tactics,Real Time Tactics
t,real-time,Real-Time
t,real-time with pause,Real-Time with Pause
t,realistic,Realistic
t,relaxing,Relaxing
t,remake,Remake
t,replay value,Replay Value
t,resource management,Resource Management
t,retro,Retro
t,rhythm,Rhythm
t,robots,Robots
t,rogue-like,Rogue-like
t,rogue-lite,Rogue-lite
t,romance,Romance
t,rome,Rome
t,rpg,RPG
t,rpgmaker,RPGMaker
t,rts,RTS
t,runner,Runner
t,sailing,Sailing
t,sandbox,Sandbox
t,satire,Satire
t,sci-fi,Sci-fi
t,science,Science
t,score attack,Score Attack
t,sexual content,Sexual Content
t,shoot 'em up,Shoot 'Em Up
t,shooter,Shooter
t,short,Short
t,side scroller,Side Scroller
t,silent protagonist,Silent Protagonist
t,simulation,Simulation
t,singleplayer,Singleplayer
t,sniper,Sniper
t,soccer,Soccer
t,software,Software
t,software training,Software Training
t,sokoban,Sokoban
t,soundtrack,Soundtrack
t,space,Space
t,space sim,Space Sim
t,spectacle fighter,Spectacle fighter
t,spelling,Spelling
t,split screen,Split Screen
t,sports,Sports
t,star wars,Star Wars
t,stealth,Stealth
t,steam machine,Steam Machine
t,steampunk,Steampunk
t,story rich,Story Rich
t,strategy,Strategy
t,strategy rpg,Strategy RPG
t,stylized,Stylized
t,superhero,Superhero
t,supernatural,Supernatural
t,surreal,Surreal
t,survival,Survival
t,survival horror,Survival Horror
t,swordplay,Swordplay
t,tactical,Tactical
t,tactical rpg,Tactical RPG
t,tanks,Tanks
t,team-based,Team-Based
t,text-based,Text-Based
t,third person,Third Person
t,third-person shooter,Third-Person Shooter
t,thriller,Thriller
t,time attack,Time Attack
t,time manipulation,Time Manipulation
t,time travel,Time Travel
t,top-down,Top-Down
t,top-down shooter,Top-Down Shooter
t,touch-friendly,Touch-Friendly
t,tower defense,Tower Defense
t,trackir,TrackIR
t,trading,Trading
t,trading card game,Trading Card Game
t,trains,Trains
t,transhumanism,Transhumanism
t,turn-based,Turn-Based
t,turn-based combat,Turn-Based Combat
t,turn-based strategy,Turn-Based Strategy
t,turn-based tactics,Turn-Based Tactics
t,tutorial,Tutorial
t,twin stick shooter,Twin Stick Shooter
t,typing,Typing
t,underground,Underground
t,underwater,Underwater
t,utilities,Utilities
t,vampire,Vampire
t,video production,Video Production
t,villain protagonist,Villain Protagonist
t,violent,Violent
t,visual novel,Visual Novel
t,voice control,Voice Control
t,voxel,Voxel
t,vr,VR
t,walking simulator,Walking Simulator
t,war,War
t,wargame,Wargame
t,warhammer 40k,Warhammer 40K
t,web publishing,Web Publishing
t,werewolves,Werewolves
t,western,Western
t,word game,Word Game
t,world war i,World War I
t,world war ii,World War II
t,wrestling,Wrestling
t,zombies,Zombies
